"Dataset","Threshold","NetBenefit_Model","NetBenefit_All","NetBenefit_None"
"TCGA-LIHC",0.53,0.113366066557556,0.0180032733224221,0
"TCGA-LIHC",0.54,0.111705685618729,-0.00334448160535128,0
"TCGA-LIHC",0.55,0.105982905982906,-0.0256410256410258,0
"TCGA-LIHC",0.56,0.104428904428904,-0.0489510489510492,0
"TCGA-LIHC",0.57,0.102802623732856,-0.0733452593917712,0
"TCGA-LIHC",0.58,0.101098901098901,-0.0989010989010991,0
"TCGA-LIHC",0.59,0.106691682301438,-0.125703564727955,0
"TCGA-LIHC",0.6,0.105128205128205,-0.153846153846154,0
"GSE76427",0.01,0.368686868686869,0.368686868686869,0
"GSE76427",0.02,0.362244897959184,0.362244897959184,0
"GSE76427",0.03,0.355670103092784,0.355670103092784,0
"GSE76427",0.04,0.348958333333333,0.348958333333333,0
"GSE76427",0.05,0.342105263157895,0.342105263157895,0
"GSE76427",0.06,0.335106382978723,0.335106382978723,0
"GSE76427",0.07,0.327956989247312,0.327956989247312,0
"GSE76427",0.08,0.320652173913043,0.320652173913043,0
"GSE76427",0.09,0.313186813186813,0.313186813186813,0
"GSE76427",0.1,0.30787037037037,0.305555555555556,0
"GSE76427",0.11,0.300327715355805,0.297752808988764,0
"GSE76427",0.12,0.295454545454545,0.289772727272727,0
"GSE76427",0.13,0.290948275862069,0.281609195402299,0
"GSE76427",0.14,0.283430232558139,0.273255813953488,0
"GSE76427",0.15,0.275735294117647,0.264705882352941,0
"GSE76427",0.16,0.250992063492063,0.255952380952381,0
"GSE76427",0.17,0.243222891566265,0.246987951807229,0
"GSE76427",0.18,0.15650406504065,0.23780487804878,0
"GSE76427",0.19,0.15843621399177,0.228395061728395,0
"GSE76427",0.2,0.145833333333333,0.21875,0
"GSE76427",0.21,0.123945147679325,0.208860759493671,0
"GSE76427",0.22,0.102564102564103,0.198717948717949,0
"GSE76427",0.23,0.075487012987013,0.188311688311688,0
"GSE76427",0.24,0.0756578947368421,0.177631578947368,0
"GSE76427",0.25,0.0763888888888889,0.166666666666667,0
"GSE76427",0.26,0.0777027027027027,0.155405405405405,0
"GSE76427",0.27,0.0719178082191781,0.143835616438356,0
"GSE76427",0.28,0.0821759259259259,0.131944444444444,0
"GSE76427",0.29,0.0768779342723005,0.119718309859155,0
"GSE76427",0.3,0.0505952380952381,0.107142857142857,0
"GSE76427",0.31,0.044987922705314,0.0942028985507246,0
"GSE76427",0.32,0.0183823529411765,0.0808823529411764,0
"GSE76427",0.33,0.0124378109452736,0.0671641791044775,0
"GSE76427",0.34,-0.014520202020202,0.053030303030303,0
"GSE76427",0.35,-0.0208333333333333,0.0384615384615384,0
"GSE76427",0.36,-0.015625,0.0234374999999999,0
"GSE76427",0.37,0.00264550264550265,0.00793650793650791,0
"GSE76427",0.38,-0.010752688172043,-0.00806451612903225,0
"GSE76427",0.39,-0.0157103825136612,-0.0245901639344263,0
"GSE76427",0.4,-0.0208333333333334,-0.0416666666666667,0
"GSE76427",0.41,-0.0261299435028249,-0.0593220338983051,0
"GSE76427",0.42,-0.0316091954022989,-0.0775862068965518,0
"GSE76427",0.43,-0.037280701754386,-0.0964912280701753,0
"GSE76427",0.44,-0.0476190476190476,-0.116071428571429,0
"GSE76427",0.45,-0.053030303030303,-0.136363636363636,0
"GSE76427",0.46,-0.0231481481481482,-0.157407407407407,0
"GSE76427",0.47,-0.0275157232704403,-0.179245283018868,0
"GSE76427",0.48,-0.0320512820512821,-0.201923076923077,0
"GSE76427",0.49,-0.0367647058823529,-0.225490196078431,0
"GSE76427",0.5,-0.0416666666666667,-0.25,0
"GSE76427",0.51,-0.0467687074829932,-0.275510204081633,0
"GSE76427",0.52,-0.0520833333333334,-0.302083333333333,0
"GSE76427",0.53,-0.0523049645390071,-0.329787234042553,0
"GSE76427",0.54,-0.0561594202898551,-0.358695652173913,0
"GSE76427",0.55,-0.0601851851851852,-0.388888888888889,0
"GSE76427",0.56,-0.0587121212121212,-0.420454545454546,0
"GSE76427",0.57,-0.062015503875969,-0.453488372093024,0
"GSE76427",0.58,-0.0654761904761905,-0.488095238095238,0
"GSE76427",0.59,-0.0391260162601626,-0.524390243902439,0
"GSE76427",0.6,-0.0416666666666667,-0.5625,0
"GSE10143-HCC",0.01,0.121080939262757,0.121080939262757,0
"GSE10143-HCC",0.02,0.1121123774185,0.1121123774185,0
"GSE10143-HCC",0.03,0.10295889677333,0.10295889677333,0
"GSE10143-HCC",0.04,0.0936147186147186,0.0936147186147186,0
"GSE10143-HCC",0.05,0.0840738209159262,0.0840738209159262,0
"GSE10143-HCC",0.06,0.0743299253937552,0.0743299253937552,0
"GSE10143-HCC",0.07,0.0643764837313224,0.0643764837313224,0
"GSE10143-HCC",0.08,0.0542066629023151,0.0542066629023151,0
"GSE10143-HCC",0.09,0.0438133295276152,0.0438133295276152,0
"GSE10143-HCC",0.1,0.0331890331890332,0.0331890331890332,0
"GSE10143-HCC",0.11,0.0223259886181234,0.0223259886181234,0
"GSE10143-HCC",0.12,0.0112160566706021,0.0112160566706021,0
"GSE10143-HCC",0.13,-0.000149276011344984,-0.000149276011344984,0
"GSE10143-HCC",0.14,-0.011778918755663,-0.011778918755663,0
"GSE10143-HCC",0.15,-0.0236822001527884,-0.0236822001527884,0
"GSE10143-HCC",0.16,-0.0358688930117502,-0.0358688930117502,0
"GSE10143-HCC",0.17,-0.0483492411203255,-0.0483492411203255,0
"GSE10143-HCC",0.18,-0.0611339879632563,-0.0611339879632563,0
